Business Name,Number,Website,Address,City,Category,Rating,Reviews,Lead Score,Opportunities
Café Strada,,,"Café Strada, 79 Lake St, Cairns City QLD 4870",cairns,Restaurant,4.7,435.0,90.0,Website design and development; Google My Business setup and optimization; Basic SEO package; Business phone system setup; Professional phone number and call routing; Professional email setup and automation; Customer relationship management (CRM) system; Restaurant website with online menu
Calaveras Street Fusion,(040) 611-7985,,"Calaveras Street Fusion, 238 Draper St, Parramatta Park QLD 4870",cairns,Mexican restaurant,4.8,357.0,65.0,Website design and development; Google My Business setup and optimization; Basic SEO package; Professional email setup and automation; Customer relationship management (CRM) system; Restaurant website with online menu; Table reservation system; Social media marketing automation
Katchup bar and restaurant,(043) 148-2080,,"Katchup bar and restaurant, Shop 4/129 Abbott St, Cairns City QLD 4870",cairns,Thai restaurant,4.6,269.0,65.0,Website design and development; Google My Business setup and optimization; Basic SEO package; Professional email setup and automation; Customer relationship management (CRM) system; Restaurant website with online menu; Table reservation system; Social media marketing automation
Waffle On Cairns,,https://www.facebook.com/WaffleOnCairns/,"Waffle On Cairns, 64 Shields St, Cairns City QLD 4870",cairns,Restaurant,4.7,822.0,60.0,Professional website to replace social media presence; Custom domain and professional email setup; Brand identity and online presence upgrade; Business phone system setup; Professional phone number and call routing; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration
Root Vegetarian,,https://instagram.com/root.vegetarian?igshid=YmMyMTA2M2Y=,"Root Vegetarian, Shop C/82 Lake St, Cairns City QLD 4870",cairns,Vegan restaurant,4.9,179.0,60.0,Professional website to replace social media presence; Custom domain and professional email setup; Brand identity and online presence upgrade; Business phone system setup; Professional phone number and call routing; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration
Yama Zaru Izakaya,(041) 322-0398,http://www.yamazaru.com.au/,"Yama Zaru Izakaya, 45 Sheridan St, Cairns City QLD 4870",cairns,Restaurant,4.6,331.0,35.0,SEO audit and optimization; Website redesign and modernization; Website speed and mobile optimization; Conversion rate optimization; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration; Digital menu and QR code setup
Pist4cchi,(074) 802-8086,http://www.pistacchicairns.com/,"Pist4cchi, Shop 2/64 Shields St, Cairns City QLD 4870",cairns,Italian restaurant,4.7,507.0,35.0,SEO audit and optimization; Website redesign and modernization; Website speed and mobile optimization; Conversion rate optimization; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration; Digital menu and QR code setup
Dundees on the Waterfront,(074) 051-0399,https://dundees.com.au/waterfront/,"Dundees on the Waterfront, 1 Marlin Parade, Cairns City QLD 4870",cairns,Seafood restaurant,4.5,3703.0,35.0,SEO audit and optimization; Website redesign and modernization; Website speed and mobile optimization; Conversion rate optimization; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration; Digital menu and QR code setup
Little Sister Restaurant & Cocktail Bar,(074) 031-5400,http://little-sister.com.au/,"Little Sister Restaurant & Cocktail Bar, 101 Esplanade, Cairns City QLD 4870",cairns,Restaurant,4.5,799.0,35.0,SEO audit and optimization; Website redesign and modernization; Website speed and mobile optimization; Conversion rate optimization; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration; Digital menu and QR code setup
Yaya’s Hellenic Kitchen and Bar,(074) 031-3033,http://www.yayashellenickitchen.com.au/contact/,"Yaya’s Hellenic Kitchen and Bar, Level 1, Corner Aplin St &, Esplanade, Cairns City QLD 4870",cairns,Greek restaurant,4.8,2541.0,35.0,SEO audit and optimization; Website redesign and modernization; Website speed and mobile optimization; Conversion rate optimization; Professional email setup and automation; Customer relationship management (CRM) system; Online ordering system integration; Digital menu and QR code setup
